Animal,Experiment,Box,phase,subphase,subsubphase,component,freezing,motion
18,201216_SEFL20_Atonetest_g4,3,A_tonetest,shock,,shock_2,0,20.33
18,201216_SEFL20_Atonetest_g4,3,A_tonetest,shock,,shock_3,0,162.85
19,201216_SEFL20_Atonetest_g4,4,A_tonetest,bl,,bl,55.12,54.68
19,201216_SEFL20_Atonetest_g4,4,A_tonetest,cs,,cs_1,80.22,19.88
19,201216_SEFL20_Atonetest_g4,4,A_tonetest,cs,,cs_2,79.56,11.87
19,201216_SEFL20_Atonetest_g4,4,A_tonetest,cs,,cs_3,87.56,11.84
19,201216_SEFL20_Atonetest_g4,4,A_tonetest,postcs,,postcs_1,43.99,46.94
19,201216_SEFL20_Atonetest_g4,4,A_tonetest,postcs,,postcs_2,42.12,43.91
19,201216_SEFL20_Atonetest_g4,4,A_tonetest,postcs,,postcs_3,53.19,26.39
19,201216_SEFL20_Atonetest_g4,4,A_tonetest,shock,,shock_1,100,0
19,201216_SEFL20_Atonetest_g4,4,A_tonetest,shock,,shock_2,60,2.48
19,201216_SEFL20_Atonetest_g4,4,A_tonetest,shock,,shock_3,86.67,18.3
20,201216_SEFL20_Atonetest_g5,1,A_tonetest,bl,,bl,26.42,85.88
20,201216_SEFL20_Atonetest_g5,1,A_tonetest,cs,,cs_1,46.33,57.14
20,201216_SEFL20_Atonetest_g5,1,A_tonetest,cs,,cs_2,84,6.68
20,201216_SEFL20_Atonetest_g5,1,A_tonetest,cs,,cs_3,64.78,28.39
20,201216_SEFL20_Atonetest_g5,1,A_tonetest,postcs,,postcs_1,14.6,101.58
20,201216_SEFL20_Atonetest_g5,1,A_tonetest,postcs,,postcs_2,14.42,106.09
20,201216_SEFL20_Atonetest_g5,1,A_tonetest,postcs,,postcs_3,29.46,70.67
20,201216_SEFL20_Atonetest_g5,1,A_tonetest,shock,,shock_1,0,18.08
20,201216_SEFL20_Atonetest_g5,1,A_tonetest,shock,,shock_2,100,0.02
